plant_type,infection_short_name,infection_full_name,severity_level,visible_symptoms,treatment_description,biological_control,chemical_control,prevention_steps
Lettuce,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),Medium,"Gray fuzzy sporulation on flowers, fruit, and wounded tissue",On Lettuce: Reduce RH spikes; spot-treat with labeled Botrytis fungicide/biofungicide,Biologicals rotated to reduce chemical reliance,Target flower and fruit zones; respect resistance guidelines,Avoid dense canopies and overnight free moisture
Pepper,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),High,"Gray fuzzy sporulation on flowers, fruit, and wounded tissue",On Pepper: Sanitize debris and adjust irrigation timing to morning only,Antagonist sprays on senescent tissue hotspots,Target flower and fruit zones; respect resistance guidelines,Avoid dense canopies and overnight free moisture
Potato,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),Low,Necrotic lesions on petals and stems under high humidity,On Potato: Remove dead flowers and infected fruit; increase ventilation immediately,Trichoderma and Bacillus biofungicides preventively on flowers,Target flower and fruit zones; respect resistance guidelines,Heat + vent pulses to break humidity spikes
Strawberry,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),High,Soft blossom blight and fruit rot with ash-gray mycelium,On Strawberry: Sanitize debris and adjust irrigation timing to morning only,Trichoderma and Bacillus biofungicides preventively on flowers,Rotate FRAC-coded greenhouse Botrytis fungicides carefully,Harvest promptly; remove aborted fruit and petals daily
Tomato,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),Critical,Soft blossom blight and fruit rot with ash-gray mycelium,On Tomato: Reduce RH spikes; spot-treat with labeled Botrytis fungicide/biofungicide,Antagonist sprays on senescent tissue hotspots,Target flower and fruit zones; respect resistance guidelines,Harvest promptly; remove aborted fruit and petals daily
Cucumber,Heat Stress,Environmental Heat / VPD Stress Disorder,Low,"Leaf cupping, blossom drop, and sunscald under high temperature",On Cucumber: Increase shading/ventilation; lower daytime setpoints; pulse irrigation,Supportive biostimulants only if labeled for stress mitigation,No fungicide required; avoid phytotoxic sprays in heat,Maintain root moisture without waterlogging
Lettuce,Heat Stress,Environmental Heat / VPD Stress Disorder,High,"Leaf cupping, blossom drop, and sunscald under high temperature",On Lettuce: Run fog/pad cooling if available; avoid midday heavy sprays,Keep biological spray programs off peak heat hours,No fungicide required; avoid phytotoxic sprays in heat,Maintain root moisture without waterlogging
Pepper,Heat Stress,Environmental Heat / VPD Stress Disorder,Medium,Wilting at peak day heat with recovery at night,On Pepper: Increase shading/ventilation; lower daytime setpoints; pulse irrigation,Supportive biostimulants only if labeled for stress mitigation,Anti-stress foliar nutrients only when label-safe,Shade cloth schedules; adequate air exchange
Potato,Heat Stress,Environmental Heat / VPD Stress Disorder,High,Bleached fruit shoulders and stalled growth,On Potato: Increase shading/ventilation; lower daytime setpoints; pulse irrigation,Keep biological spray programs off peak heat hours,Anti-stress foliar nutrients only when label-safe,Maintain root moisture without waterlogging
Strawberry,Heat Stress,Environmental Heat / VPD Stress Disorder,High,Wilting at peak day heat with recovery at night,On Strawberry: Increase shading/ventilation; lower daytime setpoints; pulse irrigation,No pathogen biological needed; maintain root-zone microbial health,Do not apply oils/sulfur under high temperature,Monitor canopy temperature; stage harvests for cooler hours
Tomato,Heat Stress,Environmental Heat / VPD Stress Disorder,Medium,Wilting at peak day heat with recovery at night,On Tomato: Increase shading/ventilation; lower daytime setpoints; pulse irrigation,Supportive biostimulants only if labeled for stress mitigation,Do not apply oils/sulfur under high temperature,Monitor canopy temperature; stage harvests for cooler hours
Potato,Late Blight,Late Blight (Phytophthora infestans),High,"Dark necrotic blotches expanding quickly under cool, wet greenhouse conditions","On Potato: Stop leaf wetness, quarantine bays, and follow extension late-blight alerts",Biological protectants as a soft first response in low-pressure phases,Follow local PHI and resistance-management rules strictly,Keep canopy dry; run fans after irrigation; avoid dense plantings
Tomato,Late Blight,Late Blight (Phytophthora infestans),Critical,"Dark necrotic blotches expanding quickly under cool, wet greenhouse conditions","On Tomato: Stop leaf wetness, quarantine bays, and follow extension late-blight alerts",Copper-alternative biofungicides labeled for Phytophthora where available,Follow local PHI and resistance-management rules strictly,Keep canopy dry; run fans after irrigation; avoid dense plantings
Cucumber,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),Medium,Small circular spots with dark borders and chlorotic halos,On Cucumber: Increase airflow and begin a preventive leaf-spot spray rotation,Bacillus subtilis foliar biofungicides,Copper or protectant fungicides labeled for the crop,Space plants for rapid drying; scout weekly
Lettuce,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),High,Small circular spots with dark borders and chlorotic halos,On Lettuce: Sanitize debris and avoid wetting foliage during irrigation,Copper-alternative biologicals on a preventive schedule,Copper or protectant fungicides labeled for the crop,Space plants for rapid drying; scout weekly
Pepper,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),Critical,Small circular spots with dark borders and chlorotic halos,On Pepper: Remove spotted leaves; apply labeled protectant fungicide,Copper-alternative biologicals on a preventive schedule,Copper or protectant fungicides labeled for the crop,Start clean and avoid working wet plants
Potato,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),Medium,Speckled foliage; lower leaves yellow and drop prematurely,On Potato: Increase airflow and begin a preventive leaf-spot spray rotation,Copper-alternative biologicals on a preventive schedule,Rotate multi-site and single-site actives carefully,Space plants for rapid drying; scout weekly
Strawberry,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),High,Speckled foliage; lower leaves yellow and drop prematurely,On Strawberry: Increase airflow and begin a preventive leaf-spot spray rotation,Biological protectants during humid weather windows,Apply before forecast high-humidity periods,Start clean and avoid working wet plants
Tomato,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),Medium,Speckled foliage; lower leaves yellow and drop prematurely,On Tomato: Remove spotted leaves; apply labeled protectant fungicide,Copper-alternative biologicals on a preventive schedule,Apply before forecast high-humidity periods,Space plants for rapid drying; scout weekly
Cucumber,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),Medium,Chlorotic mosaic patterns and uneven fruit color/quality,On Cucumber: Quarantine new plants; replace severely affected blocks,Predator/parasitoid programs to lower aphid/thrips pressure,Disinfect tools with appropriate virucidal sanitizers,Do not touch healthy plants after handling symptomatic ones
Lettuce,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),Medium,Stunted growth with blistered or fern-leaf foliage,On Lettuce: Quarantine new plants; replace severely affected blocks,Plant health biologicals only as supportive measures,Disinfect tools with appropriate virucidal sanitizers,Virus-free transplants; insect screens; worker hygiene
Pepper,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),High,Chlorotic mosaic patterns and uneven fruit color/quality,On Pepper: No curative spray — rogue symptomatic plants and reset hygiene,"No direct antiviral biological; use vector biocontrol (e.g., beneficials vs aphids)",No viricide cures disease; manage vectors with labeled insecticides if required,Control aphids/thrips; remove weed hosts
Potato,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),Medium,Chlorotic mosaic patterns and uneven fruit color/quality,On Potato: Remove infected plants; control insect vectors; sanitize hands/tools,Plant health biologicals only as supportive measures,Avoid tobacco products near tomato operations (TMV risk),Virus-free transplants; insect screens; worker hygiene
Strawberry,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),Medium,Stunted growth with blistered or fern-leaf foliage,On Strawberry: Quarantine new plants; replace severely affected blocks,Predator/parasitoid programs to lower aphid/thrips pressure,Avoid tobacco products near tomato operations (TMV risk),Virus-free transplants; insect screens; worker hygiene
Tomato,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),High,Mottled light/dark green mosaic on leaves; leaf distortion,On Tomato: Remove infected plants; control insect vectors; sanitize hands/tools,Predator/parasitoid programs to lower aphid/thrips pressure,No viricide cures disease; manage vectors with labeled insecticides if required,Do not touch healthy plants after handling symptomatic ones
Cucumber,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),Medium,"Tip burn, blossom-end issues, or pale older leaves from imbalance",On Cucumber: Correct fertigation recipe; verify EC/pH; apply targeted nutrient correction,Mycorrhizae in soil/soilless systems where compatible,Correct pH with approved acids/bases in fertigation,Calibrate injectors weekly; tissue-test when symptoms appear
Lettuce,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),Low,"Tip burn, blossom-end issues, or pale older leaves from imbalance",On Lettuce: Recalibrate dosing pumps and monitor leaf tissue response,"Compost teas only as supplements, not replacements for minerals",Avoid excess single-salt dumping that causes antagonism,Calibrate injectors weekly; tissue-test when symptoms appear
Pepper,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),Low,Interveinal chlorosis or marginal leaf burn without pathogen signs,On Pepper: Correct fertigation recipe; verify EC/pH; apply targeted nutrient correction,Mycorrhizae in soil/soilless systems where compatible,Avoid excess single-salt dumping that causes antagonism,Match recipe to crop (Tomato vs Lettuce differ strongly)
Potato,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),Low,Uniform yellowing or purpling linked to fertigation error,On Potato: Recalibrate dosing pumps and monitor leaf tissue response,Beneficial root microbes to improve nutrient uptake efficiency,Avoid excess single-salt dumping that causes antagonism,Routine EC/pH logging; staged nutrition by crop phase
Strawberry,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),Low,Uniform yellowing or purpling linked to fertigation error,On Strawberry: Flush salts if EC is high; adjust Ca/K balance for fruiting crops,Beneficial root microbes to improve nutrient uptake efficiency,Avoid excess single-salt dumping that causes antagonism,Match recipe to crop (Tomato vs Lettuce differ strongly)
Tomato,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),Low,Uniform yellowing or purpling linked to fertigation error,On Tomato: Correct fertigation recipe; verify EC/pH; apply targeted nutrient correction,Beneficial root microbes to improve nutrient uptake efficiency,Correct pH with approved acids/bases in fertigation,Calibrate injectors weekly; tissue-test when symptoms appear
Cucumber,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),Medium,White powdery patches on upper leaf surfaces; leaves yellow and curl,"On Cucumber: Improve airflow, prune infected leaves, apply potassium bicarbonate or biofungicide early",Bacillus subtilis or Bacillus amyloliquefaciens foliar sprays,Use labeled strobilurin fungicides only under high pressure; avoid overuse,Keep canopy thin and ventilate after irrigation or fog events
Lettuce,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),Medium,Flour-like fungal coating on foliage and young stems; reduced vigor,On Lettuce: Remove heavily infected tissue and spray labeled mildew protectant during cool hours,Bacillus subtilis or Bacillus amyloliquefaciens foliar sprays,Rotate sulfur or myclobutanil-group products by FRAC code; observe PHI,Avoid overhead irrigation; scout weekly for first mildew colonies
Pepper,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),High,Sparse white mycelium on leaves progressing to chlorosis and defoliation,"On Pepper: Isolate dense canopies, reduce leaf wetness, and start a preventive mildew program",Bacillus subtilis or Bacillus amyloliquefaciens foliar sprays,Apply potassium bicarbonate or wettable sulfur early; never mix oil + sulfur,Avoid overhead irrigation; scout weekly for first mildew colonies
Potato,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),Critical,Flour-like fungal coating on foliage and young stems; reduced vigor,"On Potato: Improve airflow, prune infected leaves, apply potassium bicarbonate or biofungicide early",Potassium bicarbonate / horticultural oil rotation (label-compliant),Apply potassium bicarbonate or wettable sulfur early; never mix oil + sulfur,"Maintain spacing, lower overnight RH, sanitize tools between plants"
Strawberry,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),High,White powdery patches on upper leaf surfaces; leaves yellow and curl,"On Strawberry: Isolate dense canopies, reduce leaf wetness, and start a preventive mildew program",Potassium bicarbonate / horticultural oil rotation (label-compliant),Apply potassium bicarbonate or wettable sulfur early; never mix oil + sulfur,Avoid overhead irrigation; scout weekly for first mildew colonies
Tomato,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),High,Flour-like fungal coating on foliage and young stems; reduced vigor,"On Tomato: Improve airflow, prune infected leaves, apply potassium bicarbonate or biofungicide early",Potassium bicarbonate / horticultural oil rotation (label-compliant),Apply potassium bicarbonate or wettable sulfur early; never mix oil + sulfur,"Maintain spacing, lower overnight RH, sanitize tools between plants"
Cucumber,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),Low,Crown discoloration; cucumber plants collapse in poorly drained zones,On Cucumber: Correct overwatering and apply biological root protectant,Mycorrhizae / beneficial microbe drenches for suppression,Spot-drench only after confirming pathogen class,Use sterile media; avoid standing water under benches
Lettuce,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),Medium,Wilting despite moist media; brown soft roots; stunted growth,On Lettuce: Remove severely affected plants; sanitize media and emitters,Mycorrhizae / beneficial microbe drenches for suppression,Spot-drench only after confirming pathogen class,Calibrate irrigation; sanitize trays between cycles
Pepper,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),Critical,Crown discoloration; pepper plants collapse in poorly drained zones,On Pepper: Correct overwatering and apply biological root protectant,Compost-based biologicals in clean media mixes,Rotate oomycete chemistries; do not rely on a single FRAC group,Calibrate irrigation; sanitize trays between cycles
Potato,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),Medium,Wilting despite moist media; brown soft roots; stunted growth,On Potato: Remove severely affected plants; sanitize media and emitters,Compost-based biologicals in clean media mixes,Labeled mefenoxam / propamocarb / etridiazole products as permitted,Calibrate irrigation; sanitize trays between cycles
Strawberry,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),Critical,Wilting despite moist media; brown soft roots; stunted growth,On Strawberry: Remove severely affected plants; sanitize media and emitters,Compost-based biologicals in clean media mixes,Spot-drench only after confirming pathogen class,Use sterile media; avoid standing water under benches
Tomato,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),Critical,Crown discoloration; tomato plants collapse in poorly drained zones,On Tomato: Improve drainage; reduce irrigation; drench with labeled oomycete product,Mycorrhizae / beneficial microbe drenches for suppression,Spot-drench only after confirming pathogen class,Calibrate irrigation; sanitize trays between cycles
Lettuce,Soft Rot,Bacterial Soft Rot (Pectobacterium / Dickeya spp.),Critical,Watery foul-smelling soft tissue collapse on stems or stored organs,On Lettuce: Sanitize harvest knives and cool product promptly,Limited; rely on sanitation and dry handling,Focus on hygiene chemistry rather than plant sprays,Do not over-irrigate near harvest
Pepper,Soft Rot,Bacterial Soft Rot (Pectobacterium / Dickeya spp.),Critical,Rapid liquefaction of infected tissue under high moisture,On Pepper: Reduce free water; discard severely infected heads/tubers,Limited; rely on sanitation and dry handling,Focus on hygiene chemistry rather than plant sprays,Clean crates and cool quickly after picking
Potato,Soft Rot,Bacterial Soft Rot (Pectobacterium / Dickeya spp.),Critical,Watery foul-smelling soft tissue collapse on stems or stored organs,On Potato: Remove rotting tissue; dry the environment; improve sanitation,Beneficial microbes on healthy tissue only as preventives,Follow postharvest sanitation protocols,Do not over-irrigate near harvest
Tomato,Soft Rot,Bacterial Soft Rot (Pectobacterium / Dickeya spp.),Critical,Watery foul-smelling soft tissue collapse on stems or stored organs,On Tomato: Sanitize harvest knives and cool product promptly,Beneficial microbes on healthy tissue only as preventives,Disinfectants on tools/surfaces; copper of limited value on soft rot,Clean crates and cool quickly after picking
Pepper,Tomato Yellow Leaf Curl,Tomato Yellow Leaf Curl Virus (TYLCV),Medium,Bushy stunted pepper plants after whitefly outbreaks,On Pepper: Install/repair insect screens; remove symptomatic tomatoes promptly,Banker-plant strategies where established,No chemical cure for the virus itself,Resistant cultivars; sealed greenhouse openings
Tomato,Tomato Yellow Leaf Curl,Tomato Yellow Leaf Curl Virus (TYLCV),Medium,Small chlorotic leaflets and reduced fruit set,On Tomato: Install/repair insect screens; remove symptomatic tomatoes promptly,Mirid predators as part of IPM whitefly programs,Use oils/soaps where compatible; avoid resistance buildup,Yellow sticky traps; weed-host removal
Cucumber,Anthracnose,Anthracnose (Colletotrichum spp.),Medium,Sunken circular fruit lesions with salmon-colored spore masses,On Cucumber: Harvest carefully; remove infected fruit; apply labeled anthracnose fungicide,Bacillus foliar programs during fruiting,Follow PHI closely near harvest,Avoid wounding fruit; keep ripening zone dry
Pepper,Anthracnose,Anthracnose (Colletotrichum spp.),Medium,Sunken circular fruit lesions with salmon-colored spore masses,On Pepper: Reduce fruit wetness and begin protective sprays on ripening crop,Biological protectants on flowers and young fruit,Follow PHI closely near harvest,Use drip irrigation and adequate plant spacing
Strawberry,Anthracnose,Anthracnose (Colletotrichum spp.),Medium,Sunken circular fruit lesions with salmon-colored spore masses,On Strawberry: Harvest carefully; remove infected fruit; apply labeled anthracnose fungicide,Cultural sanitation plus soft biologicals,Protect ripening fruit ahead of humid spells,Use drip irrigation and adequate plant spacing
Tomato,Anthracnose,Anthracnose (Colletotrichum spp.),Medium,Dark leaf and stem spots; fruit rot near harvest,On Tomato: Sanitize harvest tools and cull symptomatic berries/fruit,Biological protectants on flowers and young fruit,Follow PHI closely near harvest,Avoid wounding fruit; keep ripening zone dry
Pepper,Bacterial Canker,Bacterial Canker (Clavibacter michiganensis),Critical,Unilateral leaflet necrosis and open stem lesions,On Pepper: Restrict pruning during wet periods; disinfect knives constantly,Limited options; beneficials support plant resilience only,Emphasize disinfectant protocols for structures and tools,Certified seed; hot-water seed treatment where recommended
Tomato,Bacterial Canker,Bacterial Canker (Clavibacter michiganensis),Critical,"Wilting leaflets, bird's-eye fruit spots, stem cankers",On Tomato: Isolate affected rows and replace contaminated media if needed,No strong curative biological control available,Emphasize disinfectant protocols for structures and tools,Certified seed; hot-water seed treatment where recommended
Cucumber,Bacterial Leaf Spot,Bacterial Leaf Spot (Xanthomonas / Pseudomonas spp.),High,Water-soaked leaf spots becoming necrotic with yellow halos,On Cucumber: Sanitize benches and reduce humidity spikes after irrigation,Phyllosphere beneficial sprays preventively,Avoid phytotoxic overuse; follow greenhouse crop labels,Disease-free seed/transplants; minimize splash
Lettuce,Bacterial Leaf Spot,Bacterial Leaf Spot (Xanthomonas / Pseudomonas spp.),Medium,Small dark foliar spots spreading after splash irrigation,On Lettuce: Stop working wet plants; remove infected leaves; apply labeled copper program,Phyllosphere beneficial sprays preventively,Rotate with biologicals to reduce copper load,Disinfect tools between plants; keep walkways dry
Pepper,Bacterial Leaf Spot,Bacterial Leaf Spot (Xanthomonas / Pseudomonas spp.),Medium,Water-soaked leaf spots becoming necrotic with yellow halos,On Pepper: Stop working wet plants; remove infected leaves; apply labeled copper program,Copper-alternative biologicals labeled for bacterial diseases,Avoid phytotoxic overuse; follow greenhouse crop labels,Avoid dense wet canopies overnight
Strawberry,Bacterial Leaf Spot,Bacterial Leaf Spot (Xanthomonas / Pseudomonas spp.),High,Water-soaked leaf spots becoming necrotic with yellow halos,On Strawberry: Improve drying time and begin copper + biological rotation,Phyllosphere beneficial sprays preventively,Avoid phytotoxic overuse; follow greenhouse crop labels,Disinfect tools between plants; keep walkways dry
Tomato,Bacterial Leaf Spot,Bacterial Leaf Spot (Xanthomonas / Pseudomonas spp.),Critical,Greasy angular lesions; fruit scabbing on tomato/pepper,On Tomato: Improve drying time and begin copper + biological rotation,Copper-alternative biologicals labeled for bacterial diseases,Fixed-copper bactericides on a preventive humid-weather schedule,Disease-free seed/transplants; minimize splash
Pepper,Bacterial Wilt,Bacterial Wilt (Ralstonia solanacearum),High,Vascular browning with sticky bacterial stream from stem sections,On Pepper: Reduce soil moisture extremes and eliminate adjacent hosts,No strong curative biological; emphasize exclusion,Follow regional quarantine and disposal guidance,Scout for early wilt and remove promptly
Potato,Bacterial Wilt,Bacterial Wilt (Ralstonia solanacearum),High,Vascular browning with sticky bacterial stream from stem sections,On Potato: Sanitize tools/boots; isolate bay; do not compost symptomatic material,Antagonistic Bacillus soil treatments as suppressants,Follow regional quarantine and disposal guidance,Certified clean planting material; avoid infested media
Tomato,Bacterial Wilt,Bacterial Wilt (Ralstonia solanacearum),Critical,Rapid plant collapse without major leaf spotting,On Tomato: Uproot and destroy infected plants; restrict water movement between zones,No strong curative biological; emphasize exclusion,No reliable curative bactericide; copper has limited effect,Sanitize irrigation and worker pathways
Pepper,Blossom End Rot,Blossom End Rot (calcium translocation disorder),Medium,Fruit lesions linked to irregular irrigation and high VPD,On Pepper: Remove affected fruit and normalize root-zone moisture,Not a pathogen — biologicals are supportive only,Foliar/fruit calcium sprays as a temporary aid if labeled,Even irrigation; adequate soluble calcium in recipe
Strawberry,Blossom End Rot,Blossom End Rot (calcium translocation disorder),Low,Sunken dark leathery patches on fruit blossom end,On Strawberry: Stabilize irrigation; correct Ca supply and K:Ca ratio,Not a pathogen — biologicals are supportive only,Check EC so salts do not block calcium uptake,Avoid excess ammonium nitrogen during fruiting
Tomato,Blossom End Rot,Blossom End Rot (calcium translocation disorder),Low,Distal fruit necrosis despite adequate soil calcium,On Tomato: Avoid drought-flood cycles; shade during extreme heat,Not a pathogen — biologicals are supportive only,Foliar/fruit calcium sprays as a temporary aid if labeled,Maintain stable daytime VPD
Cucumber,Cucumber Mosaic,Cucumber Mosaic Virus (CMV),High,Chlorotic mosaic and reduced marketable yield,On Cucumber: No curative spray — focus on vector and rogueing,Supportive plant-health biologicals only,Tool/surface disinfection between plants,Reflective mulches/screens; aphid monitoring
Lettuce,Cucumber Mosaic,Cucumber Mosaic Virus (CMV),Critical,"Severe mosaic, leaf shoestringing, and fruit mottling",On Lettuce: No curative spray — focus on vector and rogueing,"Aphid parasitoids (Aphidius) and predators (lacewings, ladybirds)",No viricide available for CMV,Worker hygiene between bays
Pepper,Cucumber Mosaic,Cucumber Mosaic Virus (CMV),Critical,"Severe mosaic, leaf shoestringing, and fruit mottling",On Pepper: Remove infected plants; suppress aphid vectors immediately,"Aphid parasitoids (Aphidius) and predators (lacewings, ladybirds)",Aphid management products if thresholds exceeded,Reflective mulches/screens; aphid monitoring
Tomato,Cucumber Mosaic,Cucumber Mosaic Virus (CMV),Critical,Stunting with distorted younger leaves,On Tomato: Sanitize and replace heavily affected cucumber rows,Banker plants for sustained aphid biocontrol,No viricide available for CMV,Worker hygiene between bays
Cucumber,Downy Mildew,Downy Mildew (Pseudoperonospora / Peronospora spp.),Critical,"Rapid blighting of young tissue in cool, humid nights",On Cucumber: Dry canopy urgently; remove infected leaves; apply labeled downy mildew product,Phosphite-compatible biological programs where labeled,Protectants ahead of cool humid nights,Avoid leaf wetness; improve horizontal airflow
Lettuce,Downy Mildew,Downy Mildew (Pseudoperonospora / Peronospora spp.),Critical,Oil-spot appearance on upper leaf surface with fuzzy underside growth,On Lettuce: Dry canopy urgently; remove infected leaves; apply labeled downy mildew product,Cultural drying + soft biologicals at first symptoms,Use labeled downy mildew fungicides with strict FRAC rotation,Resistant cultivars when available; scout leaf undersides
Strawberry,Downy Mildew,Downy Mildew (Pseudoperonospora / Peronospora spp.),Critical,Oil-spot appearance on upper leaf surface with fuzzy underside growth,On Strawberry: Quarantine affected rows and tighten dehumidification cycles,Biofungicides as part of an IPM rotation,Rotate CAA / QoI / multi-site products per extension guidance,Irrigate mornings only; sanitize after outbreaks
Tomato,Downy Mildew,Downy Mildew (Pseudoperonospora / Peronospora spp.),Medium,Oil-spot appearance on upper leaf surface with fuzzy underside growth,On Tomato: Dry canopy urgently; remove infected leaves; apply labeled downy mildew product,Cultural drying + soft biologicals at first symptoms,Use labeled downy mildew fungicides with strict FRAC rotation,Avoid leaf wetness; improve horizontal airflow
Pepper,Early Blight,Early Blight (Alternaria solani),Low,Brown lesions with concentric rings on foliage; stem collar lesions possible,On Pepper: Remove lower infected leaves; apply labeled Alternaria fungicide rotation,Biological protectants in rotation with cultural controls,Rotate chlorothalonil / mancozeb-class and labeled SDHI products,Start with disease-free transplants and sanitize benches
Potato,Early Blight,Early Blight (Alternaria solani),Low,Brown lesions with concentric rings on foliage; stem collar lesions possible,On Potato: Sanitate fallen debris and treat remaining canopy preventively,Biological protectants in rotation with cultural controls,Apply protectants before extended humid periods,Start with disease-free transplants and sanitize benches
Tomato,Early Blight,Early Blight (Alternaria solani),Medium,Lower-canopy leaf spots expanding upward under warm humid conditions,On Tomato: Remove lower infected leaves; apply labeled Alternaria fungicide rotation,Biological protectants in rotation with cultural controls,Rotate chlorothalonil / mancozeb-class and labeled SDHI products,Start with disease-free transplants and sanitize benches
Cucumber,Edema,Physiological Leaf Edema (environmental water imbalance),Medium,Corky blisters on leaf undersides from excess root pressure,On Cucumber: Reduce night irrigation; increase airflow; balance root vs leaf moisture,Maintain healthy roots to stabilize water uptake,Focus on climate and irrigation corrections,Match irrigation to light/transpiration
Lettuce,Edema,Physiological Leaf Edema (environmental water imbalance),Medium,Corky blisters on leaf undersides from excess root pressure,On Lettuce: Reduce night irrigation; increase airflow; balance root vs leaf moisture,Pause unnecessary foliar biological sprays until resolved,Focus on climate and irrigation corrections,Train staff to distinguish edema from infection
Pepper,Edema,Physiological Leaf Edema (environmental water imbalance),High,Raised watery bumps mistaken for pest damage,On Pepper: Reduce night irrigation; increase airflow; balance root vs leaf moisture,Not pathogen-driven; no biocontrol required,Do not treat as fungal leaf spot,Prevent high RH with low transpiration nights
Tomato,Edema,Physiological Leaf Edema (environmental water imbalance),High,Leaf undersurface callusing after humid cool nights,On Tomato: Reduce night irrigation; increase airflow; balance root vs leaf moisture,Not pathogen-driven; no biocontrol required,Focus on climate and irrigation corrections,Prevent high RH with low transpiration nights
Cucumber,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),Critical,Lower leaves yellow then wilt permanently despite moist soil,On Cucumber: Remove wilted plants with roots; avoid moving infested soil,Compost-based suppressiveness programs,Disinfect tools and irrigation lines thoroughly,Quarantine new transplants until scouted
Lettuce,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),Critical,One-sided wilting; vascular browning in stem cross-section,On Lettuce: Remove wilted plants with roots; avoid moving infested soil,Compost-based suppressiveness programs,Soil treatments only where labels and regulations allow,Resistant cultivars/rootstocks; clean media and trays
Pepper,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),High,Lower leaves yellow then wilt permanently despite moist soil,On Pepper: Reduce plant stress and apply biological soil suppressants,Beneficial Bacillus soil inoculants,Limited curative options; focus on sanitation and resistant varieties,Quarantine new transplants until scouted
Potato,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),Low,Lower leaves yellow then wilt permanently despite moist soil,On Potato: Switch to resistant rootstock/cultivar; sanitize affected beds,Compost-based suppressiveness programs,Disinfect tools and irrigation lines thoroughly,Resistant cultivars/rootstocks; clean media and trays
Strawberry,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),Low,Stunting and progressive collapse from root-stem vascular infection,On Strawberry: Reduce plant stress and apply biological soil suppressants,Compost-based suppressiveness programs,Limited curative options; focus on sanitation and resistant varieties,Avoid root injury; rotate bays when possible
Tomato,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),High,One-sided wilting; vascular browning in stem cross-section,On Tomato: Remove wilted plants with roots; avoid moving infested soil,Compost-based suppressiveness programs,Limited curative options; focus on sanitation and resistant varieties,Avoid root injury; rotate bays when possible
Cucumber,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),Medium,Soft blossom blight and fruit rot with ash-gray mycelium,On Cucumber: Remove dead flowers and infected fruit; increase ventilation immediately,Antagonist sprays on senescent tissue hotspots,Target flower and fruit zones; respect resistance guidelines,Heat + vent pulses to break humidity spikes
